Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Embedded Systems, Deep Learning, Software Engineering",On-site,7.2,"Collaboration, Critical Thinking, Work Ethic, Teamwork, Emotional Intelligence","Lisp, C#, Kotlin, Shell (Bash)","ELK Stack, Confluence, InVision","Frontend Development Libraries (freeCodeCamp), iOS App Development with Swift (Apple)",False,False,0,"Mentorship Programs, Innovation Challenges","Database Management Systems, Robotics, Business Intelligence, Psychology",1,"Experimental, Detail-Oriented",Network Engineer
"Data Science, Big Data, Consulting",Hybrid,6.3,"Presentation Skills, Planning and Organization, Business Communication, Problem Solving, Attention to Detail",SQL,"AWS, PostgreSQL, Pandas, Swagger","Google Data Analytics Certificate, IBM Data Science Professional Certificate",False,False,5,,"Big Data Analytics, Data Structures and Algorithms",3,"Experimental, Big Picture Thinker",Data Scientist
"Finance Technology, Computer Vision",On-site,7.4,"Teamwork, Empathy, Attention to Detail","Julia, TypeScript","GCP, Vue.js, Helm, Jupyter Notebook, Flutter, Looker","PCEP – Certified Entry-Level Python Programmer, Cisco CCNA",True,True,0,"Volunteering, Open Source Contributions, Technical Writing","Machine Learning, Economics, IoT (Internet of Things)",2,"Detail-Oriented, Big Picture Thinker",Technical Program Manager (TPM)
"Networking, Backend Development, Data Science",On-site,8.3,"Work Ethic, Active Listening, Leadership",Python,"Unreal Engine, ELK Stack, Adobe XD, Postman",SAFe Agilist Certification,False,False,6,,"Cyber Security, Computer Networks",2,Creative,Security Engineer
"Human Computer Interaction, Frontend Development",Hybrid,8.5,Emotional Intelligence,"CSS, Ruby, Kotlin, Scala","Jupyter Notebook, Scikit-learn, Tableau","Certified ScrumMaster (CSM), Microsoft Certified: Azure AI Engineer, Oracle Certified Java Programmer",False,False,5,,"Database Management Systems, Bioinformatics",2,"Logical, Data-driven",Technical Consultant
"Entrepreneurship, Education Technology",Remote,6.2,"Business Communication, Accountability, Leadership",C#,"Vue.js, Prometheus, MongoDB, Weights & Biases","HashiCorp Certified: Terraform Associate, Tableau Desktop Specialist, Microsoft Certified: Azure AI Engineer",False,False,8,Community Service,"Web Technologies, Probability and Statistics, Computer Vision",4,Result-Oriented,Product Manager
"Quantum Computing, Systems Programming",Hybrid,9.2,Leadership,"PowerShell, Julia, Haskell","Spark, Google Colab, Cypress, Weights & Biases",,True,True,6,"Startup Ideation Events, UI/UX Projects, Innovation Challenges, Podcast Creation","Mobile Application Development, Computer Vision",4,"Systematic, Big Picture Thinker",Research Intern (AI/ML)
"Big Data, Frontend Development",On-site,8.7,Negotiation,,"CircleCI, PyTorch, MongoDB, Node.js, React, Spring Boot","HashiCorp Certified: Terraform Associate, Project Management Professional (PMP)",True,False,3,"Gaming, Hackathons, Public Speaking, Robotics Competitions","Web Technologies, Project Management, Digital Logic Design, Computer Networks",0,"Strategic, Intuitive",IoT Engineer
"Ethical Hacking, Mobile App Development",On-site,6.3,Innovative Thinking,,"Jupyter Notebook, Scikit-learn, AWS, Adobe XD",,False,False,0,"Sports, Coding Clubs, Mentorship Programs, Debate Clubs","Distributed Systems, Economics, Biology",0,"Creative, Pragmatic",Business Analyst
"Game Development, Education Technology",Hybrid,8.7,"Conflict Resolution, Innovative Thinking, Creative Thinking, Planning and Organization, Strategic Thinking","MATLAB, PowerShell","Node.js, Helm, MongoDB, Prometheus","Backend Development (Node.js), Microsoft Certified: Power BI Data Analyst Associate, SAFe Agilist Certification",False,False,8,"Blogging, Coding Clubs","Computer Architecture, Virtualization and Containers",2,"Data-driven, Result-Oriented",Product Manager
"Deep Learning, Finance Technology",Hybrid,6.2,"Work Ethic, Adaptability, Leadership","SQL, R, HTML","Jupyter Notebook, Postman, Ansible, Looker, Android Studio","Salesforce Certified Administrator, SAFe Agilist Certification, Responsive Web Design (freeCodeCamp)",True,True,7,Animation Design,"Cloud Infrastructure, Operating Systems, Database Management Systems, Computer Networks",3,Detail-Oriented,MS in Data Science
"Artificial Intelligence, Big Data",Hybrid,9.7,"Analytical Thinking, Multitasking","SQL, Python, R","Unreal Engine, Postman, Git","Certified Ethical Hacker (CEH), Certified ScrumMaster (CSM)",False,True,8,"Innovation Challenges, Case Competitions, AR/VR Projects, Volunteering","Distributed Systems, Data Mining, Digital Logic Design",0,"Creative, Data-driven",Data Scientist
"Data Science, Consulting, Business Analysis",Remote,7.9,"Innovative Thinking, Empathy",,"Confluence, ELK Stack, Xcode, TensorFlow",,True,False,2,"Sports, Open Source Contributions","Mobile Application Development, Theory of Computation, Compiler Design",0,Intuitive,MLOps Engineer
"DevOps, Deep Learning, Design Systems",Hybrid,8.3,Analytical Thinking,"PowerShell, R, PHP, C++","GCP, Xcode, Git","Frontend Development Libraries (freeCodeCamp), Salesforce Certified Administrator",True,True,6,,"Artificial Intelligence, Mobile Application Development, Calculus",1,"Innovative, Intuitive",Data Engineer
"Deep Learning, Academic Research",Remote,8.4,"Business Communication, Planning and Organization, Time Management","Python, JavaScript, C++","Spark, Xcode, Ansible, Git, Android Studio","AWS Certified Cloud Practitioner, Offensive Security Certified Professional (OSCP)",True,True,6,"Event Management, Student Government, Hackathons","Artificial Intelligence, Mobile Application Development, Database Management Systems",3,Intuitive,Data Engineer
Frontend Development,Remote,8.8,"Collaboration, Analytical Thinking, Problem Solving, Critical Thinking, Emotional Intelligence","SQL, JavaScript, TypeScript","Node.js, Vue.js","Frontend Development Libraries (freeCodeCamp), Responsive Web Design (freeCodeCamp)",False,True,6,"Club Leadership Roles, Sports, UI/UX Projects","Data Structures and Algorithms, User Interface Design, IoT (Internet of Things)",1,"Detail-Oriented, Logical",Software Developer (Frontend)
"Product Management, Technical Writing, Bioinformatics",Hybrid,6.8,"Teamwork, Planning and Organization, Empathy, Attention to Detail, Presentation Skills","MATLAB, C#, Julia","Xcode, Looker",Microsoft Certified: Azure AI Engineer,True,True,8,"Innovation Challenges, Technical Writing","Operating Systems, IoT (Internet of Things)",4,"Systematic, Big Picture Thinker",Research Intern (General)
Database Engineering,Remote,6.9,"Multitasking, Planning and Organization, Communication",R,"ELK Stack, Scikit-learn, CircleCI, Kubernetes","ISTQB Foundation Level, SAFe Agilist Certification",True,False,4,Photography,"Project Management, Cloud Computing, Human Computer Interaction, Computer Networks",1,Creative,IoT Engineer
"Data Science, Consulting",On-site,9.3,"Analytical Thinking, Empathy, Teamwork, Multitasking, Accountability","Python, JavaScript, MATLAB","ELK Stack, GitLab CI/CD, Ansible","Deep Learning Specialization (Coursera), Android Developer Certification (Google)",False,False,5,,"Cloud Infrastructure, Mobile Application Development, Computer Vision",1,"Big Picture Thinker, Intuitive",MLOps Engineer
"Big Data, Design Systems",On-site,9.2,"Analytical Thinking, Conflict Resolution, Attention to Detail, Adaptability",,"Kafka, Vue.js, Jira, Ansible, Selenium",,True,True,6,"Robotics Competitions, Tech Meetups, Startup Ideation Events","Web Technologies, Sociology, Natural Language Processing, Digital Logic Design",2,Systematic,MS in Computer Science
Deep Learning,On-site,8.1,"Strategic Thinking, Creative Thinking, Business Communication",,"AWS, Docker, Mocha, Scikit-learn, Git","Deep Learning Specialization (Coursera), AWS Certified Machine Learning - Specialty, Machine Learning (Stanford/Coursera), Microsoft Certified: Azure AI Engineer",True,True,2,"Community Service, Debate Clubs","Machine Learning, Human Computer Interaction, Deep Learning, Digital Logic Design",1,"Analytical, Big Picture Thinker",Machine Learning Engineer
"Technical Writing, Computer Vision",Hybrid,6.9,"Goal-Oriented Mindset, Leadership, Innovative Thinking, Presentation Skills, Attention to Detail","CSS, Julia","Vue.js, GCP, Angular","Microsoft Certified Azure Fundamentals, Oracle Certified Java Programmer",True,False,5,"Student Government, Workshop Hosting, Entrepreneurship Clubs","Data Structures and Algorithms, Economics",1,Big Picture Thinker,Technical Program Manager (TPM)
Game Development,On-site,6.5,Business Communication,JavaScript,"Jest, Azure, Android Studio, InVision","Project Management Professional (PMP), PCEP – Certified Entry-Level Python Programmer",True,True,8,Sports,"Operating Systems, Chemistry, Technical Communication, Object-Oriented Programming",1,Detail-Oriented,Ph.D. Candidate
"Full Stack Development, Game Development, Bioinformatics",Remote,9.4,"Communication, Time Management, Empathy, Decision Making","Lisp, Python, Haskell","Flutter, Azure","Backend Development (Node.js), Docker Certified Associate, Offensive Security Certified Professional (OSCP)",True,True,5,"Entrepreneurship Clubs, Volunteering","Data Mining, Chemistry, Natural Language Processing, Technical Communication",3,"Experimental, Detail-Oriented",Ph.D. Candidate
"Deep Learning, Web Development, Platform Engineering",On-site,7.9,"Adaptability, Emotional Intelligence, Active Listening",,"CircleCI, Git, Laravel, Xcode, Tableau",SAFe Agilist Certification,True,True,2,"Technical Writing, Sports, 3D Modeling, Music","Artificial Intelligence, Mobile Application Development",2,"Creative, Intuitive",Data Engineer
"Cloud Computing, UI/UX Design",Hybrid,7.3,"Creative Thinking, Critical Thinking","HTML, PowerShell","Adobe XD, Pandas, Kubernetes, Spark, Jest","Machine Learning (Stanford/Coursera), ISTQB Foundation Level, iOS App Development with Swift (Apple)",False,True,0,"Gaming, Entrepreneurship Clubs, Startup Ideation Events","Cyber Security, Artificial Intelligence, Cryptography, Biology",3,Creative,Project Manager
Site Reliability Engineering (SRE),Hybrid,7.1,"Business Communication, Time Management, Leadership, Problem Solving, Presentation Skills",,"Confluence, Prometheus, Flutter, Git, Jenkins, Azure","AWS Certified Cloud Practitioner, Kubernetes Certified Administrator (CKA), Docker Certified Associate, HashiCorp Certified: Terraform Associate",False,False,8,,"Cloud Computing, Bioinformatics",1,"Automation Mindset, Creative",DevOps Engineer
Networking,On-site,9.8,"Conflict Resolution, Teamwork","PHP, HTML, Dart, Shell (Bash)","AWS, Azure",,True,True,1,"Student Government, Graphic Design, Entrepreneurship Clubs, Teaching/TA Work","Information Security, Cloud Computing, Blockchain, Computer Vision",1,Problem Solving,Cloud Engineer
"Project Management, Cloud Computing, Systems Programming",Hybrid,9.8,"Leadership, Goal-Oriented Mindset, Collaboration",,"AWS, GCP, Express.js, Git",,True,False,0,"Animation Design, Music, Robotics Competitions","Distributed Systems, Chemistry, Security, Cloud Computing",3,Problem Solving,Cloud Engineer
"Deep Learning, Technical Writing, Education Technology",Hybrid,8.2,Attention to Detail,"Ruby, PowerShell","Cypress, PostgreSQL, Android Studio, Looker","Salesforce Certified Administrator, Certified Ethical Hacker (CEH), Linux Foundation Certified Kubernetes Admin",True,True,1,"Community Service, Podcast Creation, Photography","Information Security, Sociology, User Interface Design, Virtualization and Containers",0,"Innovative, Collaborative",MS in Data Science
"Deep Learning, Ethical Hacking, IoT (Internet of Things)",On-site,7.6,"Communication, Attention to Detail, Empathy, Multitasking, Teamwork","C#, Swift","Express.js, MongoDB, Cypress, Xcode, NumPy","Kubernetes Certified Administrator (CKA), PCEP – Certified Entry-Level Python Programmer, Offensive Security Certified Professional (OSCP)",False,False,8,,"Cyber Security, User Interface Design, Operating Systems, Computer Vision",2,"Analytical, Pragmatic",Systems Engineer
"Site Reliability Engineering (SRE), Finance Technology",Remote,8.8,"Communication, Innovative Thinking, Collaboration, Analytical Thinking, Attention to Detail","CSS, R, Python, Java","Mocha, Android Studio, DBT, Unity",,True,True,5,"Sports, Event Management, Startup Ideation Events, Video Editing","Chemistry, Discrete Mathematics, Bioinformatics, Computer Networks",0,User-Centered,Quality Assurance Engineer
"Entrepreneurship, IoT (Internet of Things)",Hybrid,9.0,"Critical Thinking, Creative Thinking, Decision Making, Resilience, Leadership",Java,"IntelliJ IDEA, Django, InVision, Ansible, Azure, React","Project Management Professional (PMP), Microsoft Certified: Azure AI Engineer, Offensive Security Certified Professional (OSCP)",False,True,5,"Hackathons, Workshop Hosting, Video Editing, Club Leadership Roles","Big Data Analytics, Cloud Computing, Ethical Hacking, Computer Architecture",0,Big Picture Thinker,Bioinformatics Engineer
Big Data,Hybrid,7.1,"Innovative Thinking, Goal-Oriented Mindset, Attention to Detail, Time Management, Customer Focus","CSS, C#, R, MATLAB","Node.js, Podman, Jenkins, Unreal Engine",,True,True,7,,"Natural Language Processing, Computer Architecture, Psychology",1,"Strategic, Result-Oriented",Solutions Architect
"Site Reliability Engineering (SRE), Technical Writing, Game Development",Remote,7.1,"Creative Thinking, Collaboration, Presentation Skills, Business Communication","JavaScript, C#, Shell (Bash)","PyTorch, Spark, Power BI, Scikit-learn, Looker, Xcode",,True,True,0,Graphic Design,"Artificial Intelligence, Business Intelligence, IoT (Internet of Things)",3,"Detail-Oriented, Data-driven",Research Intern (General)
"Big Data, Design Systems",Remote,8.0,"Goal-Oriented Mindset, Attention to Detail, Teamwork, Active Listening, Presentation Skills",,"CircleCI, Kafka, Looker, GitHub, Podman",Google Data Analytics Certificate,True,True,8,"Blogging, Teaching/TA Work","Web Technologies, Digital Logic Design",3,"Logical, Intuitive",MS in Computer Science
"Database Engineering, Data Science, Ethical Hacking",Remote,6.3,"Emotional Intelligence, Leadership, Critical Thinking, Creative Thinking","Rust, Swift, Julia, CSS","Confluence, Bitbucket, PostgreSQL, Cypress, Ansible, Laravel",Linux Foundation Certified Kubernetes Admin,False,False,5,"Club Leadership Roles, Robotics Competitions, Graphic Design, Photography","Cloud Infrastructure, Mobile Application Development, Cryptography, Data Structures and Algorithms",3,Creative,MLOps Engineer
Project Management,On-site,6.4,"Leadership, Multitasking, Accountability, Empathy, Planning and Organization",MATLAB,"GCP, Django, Flask, InVision, Angular","Frontend Development Libraries (freeCodeCamp), Machine Learning (Stanford/Coursera), Google UX Design Certificate",False,False,6,"UI/UX Projects, Workshop Hosting, Music, Public Speaking","Human Computer Interaction, Artificial Intelligence, Object-Oriented Programming, Cryptography",0,"Analytical, Big Picture Thinker",AI Ethicist
"Deep Learning, Frontend Development",Hybrid,7.0,"Emotional Intelligence, Multitasking",Shell (Bash),"Angular, Cypress, Spring Boot","ISTQB Foundation Level, Android Developer Certification (Google), IBM Data Science Professional Certificate",False,False,8,"Teaching/TA Work, Technical Writing","Quantum Computing, Project Management",3,Detail-Oriented,AR/VR Developer
